year,death
1900-01-01,36
1901-01-01,54
1902-01-01,79
1903-01-01,117
1904-01-01,172
1905-01-01,252
1906-01-01,338
1907-01-01,581
1908-01-01,751
1909-01-01,1174
1910-01-01,1599
1911-01-01,2043
1912-01-01,2968
1913-01-01,4079
1914-01-01,4468
1915-01-01,6779
1916-01-01,7766
1917-01-01,9630
1918-01-01,10390
1919-01-01,10896
1920-01-01,12155
1921-01-01,13253
1922-01-01,14859
1923-01-01,17870
1924-01-01,18400
1925-01-01,20771
1926-01-01,22194
1927-01-01,24470
1928-01-01,26557
1929-01-01,29592
1930-01-01,31204
1931-01-01,31963
1932-01-01,27979
1933-01-01,29746
1934-01-01,34240
1935-01-01,34494
1936-01-01,36126
1937-01-01,37819
1938-01-01,31083
1939-01-01,30895
1940-01-01,32914
1941-01-01,38142
1942-01-01,27007
1943-01-01,22727
1944-01-01,23165
1945-01-01,26785
1946-01-01,31874
1947-01-01,31193
1948-01-01,30775
1949-01-01,30246
1950-01-01,33186
1951-01-01,35309
1952-01-01,36088
1953-01-01,36190
1954-01-01,33890
1955-01-01,36688
1956-01-01,37965
1957-01-01,36932
1958-01-01,35331
1959-01-01,36223
1960-01-01,36399
1961-01-01,36285
1962-01-01,38980
1963-01-01,41723
1964-01-01,45645
1965-01-01,47089
1966-01-01,50894
1967-01-01,50724
1968-01-01,52725
1969-01-01,53543
1970-01-01,52627
1971-01-01,52542
1972-01-01,54589
1973-01-01,54052
1974-01-01,45196
1975-01-01,44525
1976-01-01,45523
1977-01-01,47878
1978-01-01,50331
1979-01-01,51093
1980-01-01,51091
1981-01-01,49301
1982-01-01,43945
1983-01-01,42589
1984-01-01,44257
1985-01-01,43825
1986-01-01,46087
1987-01-01,46390
1988-01-01,47087
1989-01-01,45582
1990-01-01,44599
1991-01-01,41508
1992-01-01,39250
1993-01-01,40150
1994-01-01,40716
1995-01-01,41817
1996-01-01,42065
1997-01-01,42013
1998-01-01,41501
1999-01-01,41717
2000-01-01,41945
2001-01-01,42196
2002-01-01,43005
2003-01-01,42884
2004-01-01,42836
2005-01-01,43510
2006-01-01,42708
2007-01-01,41259
2008-01-01,37423
2009-01-01,33883
2010-01-01,32999
2011-01-01,32479
2012-01-01,33782
2013-01-01,32893
2014-01-01,32744
2015-01-01,35485
2016-01-01,37806
2017-01-01,37473
2018-01-01,36560
2019-01-01,36120
